ida_key,ida_visible_work_count,ida_visible_sanction_total,ida_median_sanction_amount,ida_median_sanction_delay_days,ida_delay_over45_share,ida_early_stage_over180_share,ida_completed_share,ida_high_cost_outlier_share,ida_duplicate_review_share,ida_average_review_priority_score,ida_max_review_priority_score,ida_latest_sanction_date,ida_distinct_work_type_count,ida_work_type_hhi,ida_review_priority_score,ida_review_priority_band,state,ida_district,ida_authority,ida_visible_mp_count
gujarat|ananddistrictcollectoranandida,5,970351.0,149456.0,82.0,0.8,0.0,0.0,0.0,0.0,6.8,16,2025-05-30,4,0.28,9.56,Routine,Gujarat,ANAND,District Collector ANAND,1
gujarat|arvallidistrictcollectorarvalliida,10,4150000.0,400000.0,80.5,1.0,0.2,0.5,0.0,0.0,10.0,21,2025-12-03,6,0.30000000000000004,13.3,Routine,Gujarat,ARVALLI,DISTRICT COLLECTOR ARVALLI,1
gujarat|bhavnagardistrictcollectorbhavnagarida,3,1097358.0,300000.0,151.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,12.333333333333334,31,2025-10-10,2,0.5555555555555556,17.93,Routine,Gujarat,BHAVNAGAR,DISTRICT COLLECTOR BHAVNAGAR,1
gujarat|dahoddistrictcollectordohadida,116,37435188.0,250000.0,253.0,1.0,0.5517241379310345,0.0,0.02586206896551724,0.017241379310344827,22.146551724137932,56,2026-06-30,10,0.37901307966706294,32.3,Low,Gujarat,Dahod,DISTRICT COLLECTOR DOHAD,1
gujarat|devbhumidwarkadistrictcollectordevbhumidwarkaida,1,298400.0,298400.0,91.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-02-05,1,1.0,6.0,Routine,Gujarat,DEVBHUMI DWARKA,DISTRICT COLLECTOR DEVBHUMI DWARKA,1
gujarat|gandhinagardistrictcollectorgandhinagarida,1,495000.0,495000.0,257.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2025-07-21,1,1.0,16.0,Routine,Gujarat,GANDHINAGAR,DISTRICT COLLECTOR GANDHINAGAR,1
gujarat|girsomnathdistrictcollectorgirsomnathida,3,850000.0,300000.0,50.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-24,2,0.5555555555555556,6.0,Routine,Gujarat,GIR SOMNATH,DISTRICT COLLECTOR GIR SOMNATH,1
gujarat|kachchhdistrictcollectorkutchida,5,2461849.0,500000.0,175.0,1.0,0.0,0.0,0.0,0.4,11.6,16,2025-03-27,1,1.0,12.92,Routine,Gujarat,KACHCHH,DISTRICT COLLECTOR KUTCH,1
gujarat|mahesanadistrictcollectormahesanaida,5,2300000.0,500000.0,321.0,1.0,0.0,0.0,0.0,0.8,36.0,41,2025-08-21,2,0.6800000000000002,37.5,Low,Gujarat,MAHESANA,DISTRICT COLLECTOR MAHESANA,1
gujarat|mahisagarcollectormahisagarida,4,2000000.0,500000.0,228.5,1.0,0.75,0.0,0.0,0.0,24.75,31,2025-04-30,4,0.25,26.62,Low,Gujarat,Mahisagar,COLLECTOR MAHISAGAR,1
gujarat|morbidistrictcollectormorbiida,1,500000.0,500000.0,92.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-20,1,1.0,6.0,Routine,Gujarat,MORBI,District collector Morbi,1
gujarat|navsaridistrictcollectornavsariida,1,500000.0,500000.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2024-10-17,1,1.0,0.0,Routine,Gujarat,NAVSARI,DISTRICT COLLECTOR NAVSARI,1
gujarat|rajkotdistrictcollectorrajkotida,11,5286525.0,499813.0,107.0,1.0,0.09090909090909091,0.0,0.0,0.0,7.363636363636363,21,2025-02-01,4,0.5537190082644627,11.45,Routine,Gujarat,RAJKOT,DISTRICT COLLECTOR RAJKOT,1
gujarat|sabarkanthadistrictcollectorsabarkanthaida,20,9796000.0,500000.0,65.0,0.9,0.25,0.0,0.15,0.0,13.4,46,2025-04-24,8,0.2,23.18,Low,Gujarat,SABAR KANTHA,DISTRICT COLLECTOR SABARKANTHA,1
gujarat|suratdistrictcollectorsuratida,41,13815084.0,192000.0,78.0,0.926829268292683,0.12195121951219512,0.0,0.04878048780487805,0.2926829268292683,11.731707317073171,31,2026-08-25,12,0.2373587150505652,17.51,Routine,Gujarat,SURAT,DISTRICT COLLECTOR SURAT,1
gujarat|tapidistrictcollectortapiida,5,823500.0,146500.0,250.0,1.0,0.4,0.0,0.0,0.4,25.2,39,2025-10-30,1,1.0,29.34,Low,Gujarat,TAPI,District collector Tapi,1
gujarat|vadodaradistrictcollectorvadodaraida,9,10206868.0,1166400.0,71.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-13,2,0.8024691358024691,6.0,Routine,Gujarat,VADODARA,DISTRICT COLLECTOR VADODARA,1
haryana|bhiwanidccumnodalofficermpladsbhiwani,1,491257.0,491257.0,215.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2025-05-26,1,1.0,16.0,Routine,Haryana,BHIWANI,DC Cum Nodal Officer MPLADS Bhiwani,1
haryana|charkhidadrideputycommissionercharkhidadriida,2,133500.0,66750.0,51.0,0.5,1.0,0.0,0.0,0.0,18.0,21,2024-12-27,1,1.0,18.9,Routine,Haryana,Charkhi Dadri,Deputy Commissioner Charkhi Dadri,1
haryana|gurugramdccumnodalofficermplads5,2,1900000.0,950000.0,152.5,1.0,1.0,0.0,0.0,0.0,26.0,31,2025-05-13,2,0.5,27.5,Low,Haryana,GURUGRAM,DC CUM NODAL OFFICER MPLADS_5,1
haryana|hisardeputycommissionerhissarida,14,12348551.0,599976.5,70.0,1.0,0.7857142857142857,0.07142857142857142,0.2857142857142857,0.0,26.357142857142858,46,2026-05-21,6,0.3163265306122449,32.25,Low,Haryana,HISAR,DEPUTY COMMISSIONER HISSAR,3
haryana|jhajjardeputycommissionercumnodalofficermpladsjhajjar,20,13572221.0,500000.0,115.0,1.0,0.3,0.05,0.1,0.25,17.0,56,2025-09-01,4,0.655,28.7,Low,Haryana,JHAJJAR,DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR,1
haryana|kaithaldccumnodalofficersmplads,4,1397364.0,388939.5,134.0,1.0,0.0,0.25,0.0,0.0,6.0,6,2025-04-22,2,0.5,6.0,Routine,Haryana,KAITHAL,DC CUM NODAL OFFICERS MPLADS,1
haryana|kurukshetradeputycommissionerkurukshetraida,5,3416019.0,945264.0,59.0,0.6,0.2,0.0,0.2,0.0,13.6,56,2025-09-02,3,0.44000000000000006,26.32,Low,Haryana,KURUKSHETRA,DEPUTY COMMISSIONER KURUKSHETRA,1
haryana|rewaridistrictcommissionerrewari,5,4807691.0,800000.0,74.0,0.8,0.0,0.2,0.2,0.0,9.8,25,2024-12-19,4,0.28,14.36,Routine,Haryana,REWARI,District Commissioner Rewari,2
haryana|rohtakdeputycommissionerrohtakida,8,9000000.0,1100000.0,240.0,1.0,0.375,0.5,0.375,0.0,26.0,41,2026-06-19,7,0.15625,30.5,Low,Haryana,ROHTAK,DEPUTY COMMISSIONER ROHTAK,1
haryana|sonipatdeputycommissionersonepatida,3,1344000.0,499000.0,54.0,1.0,0.0,0.0,0.0,0.0,9.333333333333334,16,2026-02-17,3,0.3333333333333333,11.33,Routine,Haryana,SONIPAT,DEPUTY COMMISSIONER SONEPAT,1
himachalpradesh|chambadeputycommissionerchambaida,2,800000.0,400000.0,109.0,1.0,0.5,0.0,0.0,0.0,13.5,21,2025-03-12,2,0.5,15.75,Routine,Himachal Pradesh,CHAMBA,DEPUTY COMMISSIONER CHAMBA,1
himachalpradesh|kangradeputycommissionerkangraida,12,1844144.0,100000.0,121.0,1.0,0.3333333333333333,0.4166666666666667,0.0,0.16666666666666666,16.333333333333332,33,2025-07-24,4,0.48611111111111105,21.33,Low,Himachal Pradesh,KANGRA,DEPUTY COMMISSIONER KANGRA,1
himachalpradesh|kulludeputycommissionerkulluida,11,7993740.0,500000.0,54.0,0.6363636363636364,0.6363636363636364,0.0,0.18181818181818182,0.0,19.727272727272727,46,2025-12-19,8,0.14049586776859505,27.61,Low,Himachal Pradesh,KULLU,DEPUTY COMMISSIONER KULLU,1
himachalpradesh|mandideputycommissionermandiida,13,5110715.0,200000.0,39.0,0.46153846153846156,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,12.923076923076923,25,2026-07-21,9,0.13609467455621305,16.55,Routine,Himachal Pradesh,MANDI,DEPUTY COMMISSIONER MANDI,1
himachalpradesh|shimladeputycommissionershimlaida,8,2590000.0,300000.0,103.0,1.0,0.0,0.625,0.0,0.0,6.0,6,2025-02-15,4,0.34375,6.0,Routine,Himachal Pradesh,SHIMLA,DEPUTY COMMISSIONER SHIMLA,1
himachalpradesh|sirmaurdeputycommissionersirmourida,17,3760000.0,200000.0,143.0,0.8235294117647058,0.058823529411764705,0.058823529411764705,0.0,0.17647058823529413,11.235294117647058,31,2025-10-30,6,0.27335640138408307,17.16,Routine,Himachal Pradesh,SIRMAUR,DEPUTY COMMISSIONER SIRMOUR,1
himachalpradesh|solandeputycommissionersolanida,5,1100000.0,250000.0,156.0,0.8,0.6,0.0,0.0,0.0,17.8,31,2025-11-17,4,0.28,21.76,Low,Himachal Pradesh,SOLAN,DEPUTY COMMISSIONER SOLAN,1
jammuandkashmir|dodadeputycommissionerdodaida,7,1469200.0,200000.0,62.0,1.0,0.0,0.0,0.0,0.0,7.428571428571429,16,2025-05-01,3,0.5510204081632654,10.0,Routine,Jammu And Kashmir,DODA,Deputy Commissioner Doda,1
jammuandkashmir|kathuadistrictdevelopmentcommissionerkathuaida,42,7772689.0,162500.0,78.0,1.0,0.023809523809523808,0.0,0.0,0.047619047619047616,6.785714285714286,21,2025-07-09,6,0.39002267573696137,11.05,Routine,Jammu And Kashmir,KATHUA,DISTRICT DEVELOPMENT COMMISSIONER KATHUA,1
jammuandkashmir|rambandeputycommissionerrambanida,2,600000.0,300000.0,209.0,1.0,0.0,0.0,0.0,0.0,16.0,16,2025-05-19,2,0.5,16.0,Routine,Jammu And Kashmir,RAMBAN,Deputy Commissioner Ramban,1
jammuandkashmir|udhampurdeputycommissionerudhampurida,11,2121357.0,179271.0,65.0,1.0,0.09090909090909091,0.18181818181818182,0.0,0.0,7.363636363636363,21,2025-01-21,4,0.3223140495867768,11.45,Routine,Jammu And Kashmir,UDHAMPUR,Deputy Commissioner Udhampur,1
jharkhand|bokarodeputycommissionerbokaroida,372,22990000.0,22000.0,29.0,0.002688172043010753,1.0,0.0,0.21774193548387097,0.005376344086021506,21.427419354838708,48,2024-12-31,1,1.0,29.4,Low,Jharkhand,BOKARO,DEPUTY COMMISSIONER BOKARO,1
jharkhand|dumkadeputycommissionerdumkaida,19,7000000.0,300000.0,97.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2024-12-20,5,0.4515235457063711,6.0,Routine,Jharkhand,DUMKA,DEPUTY COMMISSIONER DUMKA,1
jharkhand|giridihdeputycommissionergiridhida,79,15746462.0,150000.0,140.0,1.0,0.6708860759493671,0.012658227848101266,0.21518987341772153,0.0,21.443037974683545,46,2025-03-01,1,1.0,28.81,Low,Jharkhand,GIRIDIH,Deputy Commissioner Giridh,1
jharkhand|khuntideputycommissionerkhuntiida,40,24900000.0,500000.0,37.0,0.075,0.825,0.0,0.075,0.0,14.7,40,2024-10-14,6,0.7274999999999998,22.29,Low,Jharkhand,KHUNTI,DEPUTY COMMISSIONER KHUNTI,1
jharkhand|ranchideputycommissionerranchiida,70,48616100.0,599350.0,83.0,0.8857142857142857,0.34285714285714286,0.0,0.07142857142857142,0.02857142857142857,12.357142857142858,46,2024-12-31,7,0.36571428571428577,22.45,Low,Jharkhand,RANCHI,DEPUTY COMMISSIONER RANCHI,2
jharkhand|saraikelakharsawandeputycommissionersaraikelaida,9,5000000.0,500000.0,29.0,0.0,1.0,0.0,0.0,0.0,15.0,15,2024-10-09,2,0.654320987654321,15.0,Routine,Jharkhand,SARAIKELA KHARSAWAN,Deputy Commissioner saraikela,1
jharkhand|simdegadeputycommissionersimdegaida,18,11500000.0,600000.0,30.0,0.0,0.0,1.0,0.0,0.0,0.0,0,2024-10-14,4,0.7037037037037038,0.0,Routine,Jharkhand,SIMDEGA,Deputy Commissioner simdega,1
jharkhand|westsinghbhumdeputycommissionerwestsinghbhumida,3,1500000.0,500000.0,177.0,1.0,0.0,0.0,0.0,0.0,6.0,6,2025-03-27,1,1.0,6.0,Routine,Jharkhand,WEST SINGHBHUM,DEPUTY COMMISSIONER WEST SINGHBHUM,1
